id,autorinnenname,land,wohnort,titel,eingeladen_von,teilnahmejahr,geburtsjahr,geschlecht,vorgetragen_am,preis_gewonnen,wikipedia,preis
1,Katharina Schultens,Deutschland,Berlin,Urmünder,Insa Wilke,2019,1980,w,Donnerstag,False,True,False
2,Sarah Wipauer,Österreich,Wien,Raumstation Hirschstetten,Klaus Kastberger,2019,1986,w,Donnerstag,False,False,False
3,Silvia Tschui,Schweiz,Zürich,Auszug aus dem Roman Der Wod,Nora Gomringer,2019,1974,w,Donnerstag,False,True,False
4,Julia Jost,Österreich,Hamburg,Unweit vom Schakaltal,Klaus Kastberger,2019,1982,w,Donnerstag,True,True,Kelag-Preis
5,Andrea Gerster,Schweiz,"Freidorf (Kanton Thurgau)",Das kann ich,Hildegard E. Keller,2019,1959,w,Donnerstag,False,True,False
6,Yannic Han Biao Federer,Deutschland,Köln,Kenn ich nicht,Hildegard E. Keller,2019,1986,m,Freitag,True,True,3sat-Preis
7,Ronya Othmann,Deutschland,Leipzig,Vierundsiebzig,Insa Wilke,2019,1993,w,Freitag,True,True,BKS Bank-Publikumspreis
8,Birgit Birnbacher,Österreich,Salzburg,Der Schrank,Stefan Gmünder,2019,1985,w,Freitag,True,True,Ingeborg-Bachmann-Preis
9,Daniel Heitzler,Deutschland,Berlin,Der Fluch,Hubert Winkels,2019,1996,m,Freitag,False,False,False
10,Tom Kummer,Schweiz,Bern,Von schlechten Eltern,Michael Wiederstein,2019,1961,m,Freitag,False,True,False
11,Ines Birkhan,Österreich,Wien,Romanauszug abspenstig,Nora Gomringer,2019,1974,w,Samstag,False,True,False
12,Leander Fischer,Österreich,Hannover,Nymphenverzeichnis Muster Nummer eins Goldkopf,Hubert Winkels,2019,1992,m,Samstag,True,True,Deutschlandfunk-Preis
13,Lukas Meschik,Österreich,Wien,Mein Vater ist ein Baum,Stefan Gmünder,2019,1988,m,Samstag,False,True,False
14,Martin Beyer,Deutschland,Bamberg,Und ich war da,Michael Wiederstein,2019,1976,m,Samstag,False,False,False
15,Raphaela Edelbauer,Österreich,Wien,Das Loch,Klaus Kastberger,2018,1990,w,Donnerstag,True,True,BKS Bank-Publikumspreis
16,Martina Clavadetscher,Schweiz,"Brunnen,Luzern",SCHNITTMUSTER,Hildegard E. Keller,2018,1979,w,Donnerstag,False,True,False
17,Stephan Lohse,Deutschland,Berlin,Lumumbaland,Hubert Winkels,2018,1964,m,Donnerstag,False,True,False
18,Anna Stern,Schweiz,Zürich,Warten auf Ava,Hildegard E. Keller,2018,1990,w,Donnerstag,True,True,3sat-Preis
19,Joshua Groß,Deutschland,Nürnberg,Flexen in Miami,Insa Wilke,2018,1989,m,Donnerstag,False,True,False
20,Corinna T. Sievers,Deutschland,Herrliberg,"Der Nächste, bitte!",Nora Gomringer,2018,1965,w,Freitag,False,True,False
21,Ally Klein,Deutschland,Berlin,Carter,Michael Wiederstein,2018,1984,w,Freitag,False,False,False
22,Tanja Maljartschuk,Ukraine,Wien,Frösche im Meer,Stefan Gmünder,2018,1983,w,Freitag,True,True,Ingeborg-Bachmann-Preis
23,Bov Bjerg,Deutschland,Berlin,SERPENTINEN,Klaus Kastberger,2018,1965,m,Freitag,True,True,Deutschlandfunk-Preis
24,Anselm Neft,Deutschland,Hamburg,Mach’s wie Miltos!,Nora Gomringer,2018,1973,m,Freitag,False,True,False
25,Jakob Nolte,Deutschland,Berlin,"Tagebuch einer jungen Frau, die am Fall beteiligt war",Hubert Winkels,2018,1988,m,Samstag,False,True,False
26,Stephan Groetzner,Deutschland,Hamburg,DESTINATION:AUSTRIA,Stefan Gmünder,2018,1965,m,Samstag,False,True,False
27,Özlem Özgül Dündar,"Deutschland,Türkei",Solingen,und ich brenne,Insa Wilke,2018,1983,w,Samstag,True,True,Kelag-Preis
28,Lennardt Loß,Deutschland,Frankfurt/Main,Der Himmel über 9A,Michael Wiederstein,2018,1992,m,Samstag,False,False,False
29,Karin Peschka,Österreich,Wien,Wiener Kindl,Stefan Gmünder,2017,1967,w,Donnerstag,True,True,BKS Bank-Publikumspreis
30,Björn Treber,Österreich,Graz,Weintrieb,Stefan Gmünder,2017,1992,m,Donnerstag,False,True,False
31,John Wray,"USA,Österreich",Brooklyn,Madrigal,Sandra Kegel,2017,1971,m,Donnerstag,True,True,Deutschlandfunk-Preis
32,Noemi Schneider,Deutschland,"Weiler im Allgäu,München",Fifty Shades of Gray,Hubert Winkels,2017,1982,w,Donnerstag,False,True,False
33,Daniel Goetsch,"Schweiz,Frankreich",Berlin,Der Name,Hildegard E. Keller,2017,1968,m,Donnerstag,False,True,False
34,Ferdinand Schmalz,Österreich,Wien,mein lieblingstier heißt winter,Sandra Kegel,2017,1985,m,Freitag,True,True,Ingeborg-Bachmann-Preis
35,Barbi Marković,Serbien,Wien,Die Mieter,Klaus Kastberger,2017,1980,w,Freitag,False,True,False
36,Verena Dürr,Österreich,Wien,Memorabilia,Klaus Kastberger,2017,1982,w,Freitag,False,False,False
37,Jackie Thomae,Deutschland,Berlin,Cleanster,Hubert Winkels,2017,1972,w,Freitag,False,True,False
38,Jörg-Uwe Albig,Deutschland,Berlin,In der Steppe,Meike Feßmann,2017,1960,m,Freitag,False,True,False
39,Eckhart Nickel,Deutschland,Frankfurt/Main,Hysteria,Michael Wiederstein,2017,1966,m,Samstag,True,True,Kelag-Preis
40,Gianna Molinari,Schweiz,Zürich,Loses Mappe,Hildegard E. Keller,2017,1988,w,Samstag,True,True,3sat-Preis
41,Maxi Obexer,"Deutschland,Italien",Berlin,Europas längster Sommer,Meike Feßmann,2017,1970,w,Samstag,False,True,False
42,Urs Mannhart,Schweiz,Madiswil,Ein Bier im Banja,Michael Wiederstein,2017,1975,m,Samstag,False,True,False
43,Stefanie Sargnagel,Österreich,Wien,Penne vom Kika,Sandra Kegel,2016,1986,w,Donnerstag,True,True,BKS Bank-Publikumspreis
44,Sascha Macht,Deutschland,Leipzig,Das alte Lied von Señor Magma,Hildegard E. Keller,2016,1986,m,Donnerstag,False,False,False
45,Marko Dinić,Serbien,Salzburg,Als nach Milošević das Wasser kam,Klaus Kastberger,2016,1988,m,Donnerstag,False,True,False
46,Bastian Schneider,Deutschland,"Köln,Wien",MEZZANIN,Stefan Gmünder,2016,1981,m,Donnerstag,False,False,False
47,Selim Özdoğan,"Deutschland,Türkei",Köln,Ein geheimer Akkord,Stefan Gmünder,2016,1971,m,Donnerstag,False,True,False
48,Julia Wolf,Deutschland,Berlin,Walter Nowak bleibt liegen,Hubert Winkels,2016,1980,w,Freitag,True,True,3sat-Preis
49,Jan Snela,Deutschland,Tübingen,Araber und Schakale,Meike Feßmann,2016,1980,m,Freitag,False,True,False
50,Isabelle Lehn,Deutschland,Leipzig,Binde zwei Vögel zusammen,Meike Feßmann,2016,1979,w,Freitag,False,True,False
51,Tomer Gardi,Israel,Tel Aviv,unbetitelter Text,Klaus Kastberger,2016,1974,m,Freitag,False,True,False
52,Sylvie Schenk,Deutschland,"Aachen,La Roche de Rame-Hautes Alpes","Schnell, dein Leben",Hubert Winkels,2016,1944,w,Freitag,False,True,False
53,Ada Dorian,Deutschland,Osnabrück,Betrunkene Bäume,Hildegard E. Keller,2016,1981,w,Samstag,False,True,False
54,Sharon Dodua Otoo,Großbritannien,Berlin,Herr Gröttrup setzt sich hin,Sandra Kegel,2016,1972,w,Samstag,True,True,Ingeborg-Bachmann-Preis
55,Astrid Sozio,Deutschland,Hamburg,Das verlassenste Land,Juri Steiner,2016,1979,w,Samstag,False,False,False
56,Dieter Zwicky,Schweiz,"Uster,Zürich",Los Alamos ist winzig,Juri Steiner,2016,1957,m,Samstag,True,True,Kelag-Preis
57,Katerina Poladjan,"Deutschland,Russland",Frankfurt/Main,Es ist weit bis Marseille,Meike Feßmann,2015,1979,w,Donnerstag,False,True,False
58,Nora Gomringer,"Schweiz,Deutschland",Bamberg,Recherche,Sandra Kegel,2015,1980,w,Donnerstag,True,True,Ingeborg-Bachmann-Preis
59,Saskia Hennig von Lange,Deutschland,Frankfurt/Main,Hierbleiben,Sandra Kegel,2015,1976,w,Donnerstag,False,True,False
60,Sven Recker,Deutschland,Berlin,"BROT, BROT, BROT",Meike Feßmann,2015,1973,m,Donnerstag,False,False,False
61,Valerie Fritsch,Österreich,Graz,Das Bein,Klaus Kastberger,2015,1989,w,Donnerstag,True,True,"Kelag-Preis, BKS Bank-Publikumspreis"
62,Peter Truschner,"Österreich,Deutschland",Berlin,RTL-Reptil,Stefan Gmünder,2015,1967,m,Freitag,False,True,False
63,FALKNER,Österreich,Wien,Krieger sein Bruder sein – Manifest 47,Klaus Kastberger,2015,1970,w,Freitag,False,True,False
64,Tim Krohn,"Schweiz,Deutschland",Val Müstair,Zum Paradies,Juri Steiner,2015,1965,m,Freitag,False,True,False
65,Monique Schwitter,"Schweiz,Deutschland",Hamburg,Esche,Hildegard E. Keller,2015,1972,w,Freitag,False,True,False
66,Ronja von Rönne,Deutschland,Berlin,Welt am Sonntag,Hubert Winkels,2015,1992,w,Freitag,False,True,False
67,Jürg Halter,Schweiz,Bern,Erwachen im 21. Jahrhundert,Juri Steiner,2015,1980,m,Samstag,False,True,False
68,Anna Baar,Österreich,Klagenfurt,Die Farbe des Granatapfels,Stefan Gmünder,2015,1973,w,Samstag,False,True,False
69,Teresa Präauer,Österreich,Wien,"Oh, Schimmi",Hubert Winkels,2015,1979,w,Samstag,False,True,False
70,Dana Grigorcea,"Schweiz,Rumänien",Zürich,Das primäre Gefühl der Schuldlosigkeit,Hildegard E. Keller,2015,1979,w,Samstag,True,True,3sat-Preis
71,Roman Marchel,Österreich,südliches Waldviertel,Die fröhlichen Pferde von Chauvet,Arno Dusini,2014,1974,m,Donnerstag,False,True,False
72,Kerstin Preiwuß,Deutschland,Leipzig,unbetitelter Text,Meike Feßmann,2014,1980,w,Donnerstag,False,True,False
73,Tobias Sommer,Deutschland,Bad Segeberg,Steuerstrafakte,Juri Steiner,2014,1978,m,Donnerstag,False,True,False
74,Gertraud Klemm,Österreich,Pfaffstätten,Ujjayi (Romanauszug),Hubert Winkels,2014,1971,w,Donnerstag,True,True,BKS Bank-Publikumspreis
75,Olga Flor,Österreich,Graz,Unter Platanen,Daniela Strigl,2014,1968,w,Donnerstag,False,True,False
76,Anne-Kathrin Heier,Deutschland,Berlin,Ichthys,Burkhard Spinnen,2014,1977,w,Freitag,False,True,False
77,Birgit Pölzl,Österreich,Graz,Maia,Arno Dusini,2014,1959,w,Freitag,False,True,False
78,Senthuran Varatharajah,Deutschland,Berlin,Vor der Zunahme der Zeichen (Romanauszug),Meike Feßmann,2014,1984,m,Freitag,True,True,3sat-Preis
79,Michael Fehr,Schweiz,Bern,Simeliberg (Romanauszug),Juri Steiner,2014,1982,m,Freitag,True,True,Kelag-Preis
80,Romana Ganzoni,Schweiz,Celerina,Ignis Cool,Hildegard E. Keller,2014,1967,w,Freitag,False,True,False
81,Katharina Gericke,Deutschland,Berlin,DOWN DOWN DOWN To The Queen Of Chinatown,Burkhard Spinnen,2014,1966,w,Samstag,True,True,Ernst-Willner-Preis
82,Tex Rubinowitz,"Österreich,Deutschland",Wien,Wir waren niemals hier,Daniela Strigl,2014,1961,m,Samstag,True,True,Ingeborg-Bachmann-Preis
83,Georg Petz,Österreich,Graz,Millefleurs,Hildegard E. Keller,2014,1977,m,Samstag,False,True,False
